,year,week,date,day,time_of_day,room_name,class_type,faculty,school,joint,status,degree,enrollment,class_duration,attendance,class_type_new,attendance_by_class,date-year,date-month,date-day,normalized_attendance,normalized_attendance2
73,2017,4,8/21/2017,1,2,2,0,2,16,0,4,2,457,2,162,4,2,2017,8,21,0.354485777,1
74,2017,5,8/31/2017,2,0,2,0,5,8,0,4,2,447,1,115,4,2,2017,8,31,0.257270694,0
75,2017,9,10/3/2017,3,2,2,0,5,8,0,4,2,381,2,128,4,2,2017,10,3,0.335958005,1
76,2017,8,9/20/2017,4,0,2,0,5,28,0,4,2,403,1,105,4,2,2017,9,20,0.260545906,0
77,2017,8,9/21/2017,2,1,2,0,6,7,1,2,2,304,1,65,3,1,2017,9,21,0.213815789,0
78,2017,3,8/18/2017,0,2,2,0,5,15,0,4,2,419,1,110,4,2,2017,8,18,0.262529833,0
79,2017,3,8/17/2017,2,2,2,0,2,16,0,4,2,409,1,160,4,2,2017,8,17,0.391198044,1
80,2017,8,9/22/2017,0,2,2,0,5,15,0,4,2,419,1,62,3,1,2017,9,22,0.14797136,0
81,2017,10,10/9/2017,1,2,2,0,5,15,0,4,2,419,1,113,4,2,2017,10,9,0.269689737,0
82,2017,4,8/21/2017,1,1,2,0,2,16,1,4,2,447,2,77,3,1,2017,8,21,0.172259508,0
83,2017,1,8/2/2017,4,1,2,0,5,28,0,2,2,385,1,86,3,1,2017,8,2,0.223376623,0
84,2017,8,9/22/2017,0,2,2,0,5,8,0,4,2,291,2,78,3,1,2017,9,22,0.268041237,0
85,2017,6,9/6/2017,4,0,2,0,5,28,0,4,2,403,1,101,4,2,2017,9,6,0.250620347,0
86,2017,9,10/6/2017,0,2,2,0,5,8,0,4,2,291,2,87,3,1,2017,10,6,0.298969072,0
87,2017,11,10/18/2017,4,0,2,0,2,16,0,4,2,457,1,77,3,1,2017,10,18,0.168490153,0
88,2017,11,10/18/2017,4,0,2,0,5,28,0,4,2,403,1,73,3,1,2017,10,18,0.181141439,0
89,2017,5,9/1/2017,0,0,2,0,2,16,1,4,2,455,2,168,4,2,2017,9,1,0.369230769,1
90,2017,8,9/20/2017,4,1,2,0,5,28,0,2,2,385,1,95,3,1,2017,9,20,0.246753247,0
91,2017,4,8/21/2017,1,0,2,0,2,17,0,4,2,424,2,189,4,2,2017,8,21,0.445754717,1
92,2017,0,7/24/2017,1,1,2,0,2,17,0,4,0,320,1,116,4,2,2017,7,24,0.3625,1
93,2017,4,8/21/2017,1,1,2,0,2,17,0,4,0,320,1,178,4,2,2017,8,21,0.55625,1
94,2017,5,9/1/2017,0,2,2,0,5,15,0,4,2,419,1,66,3,1,2017,9,1,0.1575179,0
95,2017,1,8/2/2017,4,0,2,0,5,28,0,4,2,403,1,159,4,2,2017,8,2,0.394540943,1
96,2017,8,9/22/2017,0,0,2,0,5,15,0,4,2,386,1,66,3,1,2017,9,22,0.170984456,0
97,2017,4,8/24/2017,2,0,2,0,5,15,0,4,2,419,1,106,4,2,2017,8,24,0.252983294,0
98,2017,1,8/3/2017,2,0,2,0,5,15,0,4,2,419,1,177,4,2,2017,8,3,0.422434368,1
99,2017,6,9/7/2017,2,2,2,0,5,28,0,2,2,271,1,66,3,1,2017,9,7,0.243542435,0
100,2017,9,10/5/2017,2,0,2,0,0,29,0,4,2,354,2,105,4,2,2017,10,5,0.296610169,0
101,2017,3,8/17/2017,2,1,2,0,6,7,1,2,2,304,1,97,3,1,2017,8,17,0.319078947,1
102,2017,0,7/27/2017,2,1,2,0,5,28,0,2,2,385,1,97,3,1,2017,7,27,0.251948052,0
103,2017,3,8/17/2017,2,0,2,0,0,29,0,4,2,354,2,140,4,2,2017,8,17,0.395480226,1
104,2017,0,7/24/2017,1,0,2,0,2,17,0,4,2,424,2,170,4,2,2017,7,24,0.400943396,1
105,2017,6,9/4/2017,1,0,2,0,2,17,0,4,2,424,2,163,4,2,2017,9,4,0.384433962,1
106,2017,7,9/15/2017,0,2,2,0,5,8,0,4,2,291,2,178,4,2,2017,9,15,0.611683849,2
